,iox::measurement,time,altitude,avg_speed,car,class,distance,event,event_hours,latitude,longitude,messengerId,shortname,speed,team,teamnum
77,telemetry,2025-08-23 01:05:38,20.0,-0.48841395272897314,Sun Sprite,Challenger,10.45504334033337,BWSC2025,-21.406111111111112,-12.44833,130.908,0-3111503,SASVA,0.0,42,42
78,telemetry,2025-08-23 01:06:15,17.0,-0.5104148585504872,H6,Challenger,10.920751244403132,BWSC2025,-21.395833333333332,-12.44659,130.91133,0-3110655,Halmstad,3.17520997725574,23,23
79,telemetry,2025-08-23 01:07:01,17.0,-0.48339638425558107,Michigan 2025,Challenger,10.33649173989177,BWSC2025,-21.383055555555554,-12.44826,130.90764,0-3110836,Michigan,-7.053984871372907,02,2
80,telemetry,2025-08-23 01:07:51,44.0,-0.49676314645391384,Dokkaebi 2,Challenger,10.615414470431428,BWSC2025,-21.36916666666667,-12.44789,130.90881,0-3178440,SNU SOLO,-3.6566000841142463,57,57
81,telemetry,2025-08-23 01:07:53,23.0,-0.47787568202153974,Gaia,Cruiser,10.211539608575274,BWSC2025,-21.36861111111111,-12.44887,130.90714,0-3110643,Minnesota,-0.006441752097160247,35,35
82,telemetry,2025-08-23 01:08:04,11.0,-0.4892309453893309,Sun Sprite,Challenger,10.452690943212716,BWSC2025,-21.365555555555556,-12.44835,130.90797,0-3111503,SASVA,-0.058004312564088854,42,42
83,telemetry,2025-08-23 01:08:34,53.0,-0.4774183557220806,Aagneya,Challenger,10.196329916124414,BWSC2025,-21.357222222222223,-12.44904,130.90697,0-3192976,AgniRath,0.0,28,28
84,telemetry,2025-08-23 01:08:45,11.0,-0.48901439038566114,H6,Challenger,10.442494794693806,BWSC2025,-21.354166666666668,-12.44807,130.90797,0-3110655,Halmstad,-11.478154793023819,23,23
85,telemetry,2025-08-23 01:09:30,23.0,-0.47067751423669546,Michigan 2025,Challenger,10.045042616334808,BWSC2025,-21.341666666666665,-12.44951,130.90544,0-3110836,Michigan,-7.0417237906380095,02,2
86,telemetry,2025-08-23 01:10:20,41.0,-0.5118267215292057,Dokkaebi 2,Challenger,10.91612657750345,BWSC2025,-21.32777777777778,-12.44656,130.9113,0-3178440,SNU SOLO,7.265527419189777,57,57
87,telemetry,2025-08-23 01:10:29,8.0,-0.47884673367379593,Aagneya,Challenger,10.211539608575274,BWSC2025,-21.325277777777778,-12.44887,130.90714,0-3192976,AgniRath,0.47612950280952393,28,28
88,telemetry,2025-08-23 01:10:36,17.0,-0.48471378142147453,Sun Sprite,Challenger,10.335713532510576,BWSC2025,-21.323333333333334,-12.44754,130.90782,0-3111503,SASVA,-2.7705176218927727,42,42
89,telemetry,2025-08-23 01:11:14,20.0,-0.4640375885301687,H6,Challenger,9.889930004879368,BWSC2025,-21.31277777777778,-12.45016,130.90388,0-3110655,Halmstad,-13.350558680080383,23,23
90,telemetry,2025-08-23 01:11:37,20.0,-0.49059258912393616,SC4,Challenger,10.452756489881466,BWSC2025,-21.30638888888889,-12.44838,130.90796,0-3110879,ANU,0.0,41,41
91,telemetry,2025-08-23 01:12:00,23.0,-0.4749457665533709,Michigan 2025,Challenger,10.1163448275868,BWSC2025,-21.3,-12.44943,130.90616,0-3110836,Michigan,1.7112530700478317,02,2
92,telemetry,2025-08-23 01:12:27,26.0,-0.47764259869055176,Yata,Challenger,10.170205032618574,BWSC2025,-21.2925,-12.4489,130.90675,0-3193295,Wakayama,0.0,61,61
93,telemetry,2025-08-23 01:12:49,50.0,-0.4753839592680649,Dokkaebi 2,Challenger,10.119207828519746,BWSC2025,-21.28638888888889,-12.44887,130.90628,0-3178440,SNU SOLO,-19.254412727123032,57,57
94,telemetry,2025-08-23 01:12:56,-10.0,-0.4797737884485846,Aagneya,Challenger,10.21171854613454,BWSC2025,-21.284444444444443,-12.4487,130.90717,0-3192976,AgniRath,0.0043821443085499704,28,28
95,telemetry,2025-08-23 01:13:17,23.0,-0.48540202129032134,EV4-B,Challenger,10.328680843584024,BWSC2025,-21.27861111111111,-12.44882,130.90742,0-3190140,Solis,0.0,99,99
96,telemetry,2025-08-23 01:13:42,-1.0,-0.4755783825552209,H6,Challenger,10.116344827587142,BWSC2025,-21.27166666666667,-12.44937,130.90617,0-3110655,Halmstad,5.507387579378287,23,23
97,telemetry,2025-08-23 01:14:07,17.0,-0.5164735570279733,SC4,Challenger,10.982666725322899,BWSC2025,-21.264722222222222,-12.44633,130.91225,0-3110879,ANU,12.717845650594384,41,41
98,telemetry,2025-08-23 01:14:57,20.0,-0.4911393263557542,Yata,Challenger,10.43711996783174,BWSC2025,-21.250833333333333,-12.44843,130.90779,0-3193295,Wakayama,6.405958445115971,61,61
99,telemetry,2025-08-23 01:15:18,35.0,-0.4658350069361125,Dokkaebi 2,Challenger,9.89666472235771,BWSC2025,-21.245,-12.45006,130.90396,0-3178440,SNU SOLO,-5.376880417337771,57,57
100,telemetry,2025-08-23 01:15:29,2.0,-0.4807505474821004,Aagneya,Challenger,10.212076421251028,BWSC2025,-21.241944444444446,-12.44872,130.90717,0-3192976,AgniRath,0.008420590976206366,28,28
101,telemetry,2025-08-23 01:15:34,20.0,-0.5136029314694316,Sun Sprite,Challenger,10.909211599372655,BWSC2025,-21.240555555555556,-12.44656,130.91122,0-3111503,SASVA,6.928164566119078,42,42
102,telemetry,2025-08-23 01:15:43,26.0,-0.4865766040586342,EV4-B,Challenger,10.333940949030831,BWSC2025,-21.238055555555555,-12.44882,130.90747,0-3190140,Solis,0.12970123019523278,99,99
103,telemetry,2025-08-23 01:16:12,23.0,-0.476250483432992,H6,Challenger,10.11079776328242,BWSC2025,-21.23,-12.44942,130.90611,0-3110655,Halmstad,-0.1331295433133164,23,23
104,telemetry,2025-08-23 01:16:37,20.0,-0.49343070773974324,SC4,Challenger,10.472107323177667,BWSC2025,-21.223055555555554,-12.44815,130.90823,0-3110879,ANU,-12.253425651485557,41,41
105,telemetry,2025-08-23 01:17:01,38.0,-0.4812115458904186,Michigan 2025,Challenger,10.209571295434523,BWSC2025,-21.21638888888889,-12.44876,130.90714,0-3110836,Michigan,1.1150009443581468,02,2
106,telemetry,2025-08-23 01:17:26,17.0,-0.49255376633565384,Yata,Challenger,10.44679174299792,BWSC2025,-21.209444444444443,-12.44847,130.90787,0-3193295,Wakayama,0.23368047381376927,61,61
107,telemetry,2025-08-23 01:17:48,53.0,-0.47776087185525834,Dokkaebi 2,Challenger,10.130123019570995,BWSC2025,-21.203333333333333,-12.4493,130.90631,0-3178440,SNU SOLO,5.602999133118814,57,57
108,telemetry,2025-08-23 01:18:03,26.0,-0.4923961100718758,Sun Sprite,Challenger,10.43838720343204,BWSC2025,-21.199166666666667,-12.44807,130.90793,0-3111503,SASVA,-11.375622989169239,42,42
109,telemetry,2025-08-23 01:18:41,14.0,-0.4810570192197529,H6,Challenger,10.192930102517648,BWSC2025,-21.18861111111111,-12.44885,130.90697,0-3110655,Halmstad,1.9844055117236294,23,23
110,telemetry,2025-08-23 01:19:07,26.0,-0.479734220714667,SC4,Challenger,10.161437092265418,BWSC2025,-21.18138888888889,-12.44655,130.90706,0-3110879,ANU,-7.456085541893984,41,41
111,telemetry,2025-08-23 01:19:55,23.0,-0.4935935573476182,Yata,Challenger,10.448415843798678,BWSC2025,-21.168055555555554,-12.44843,130.9079,0-3193295,Wakayama,0.03924001934716321,61,61
112,telemetry,2025-08-23 01:20:16,50.0,-0.47879046746002324,Dokkaebi 2,Challenger,10.13227027027067,BWSC2025,-21.162222222222223,-12.4493,130.90633,0-3178440,SNU SOLO,0.052230422424530444,57,57
113,telemetry,2025-08-23 01:20:33,20.0,-0.46774644946396565,Sun Sprite,Challenger,9.896345504533853,BWSC2025,-21.1575,-12.44975,130.90401,0-3111503,SASVA,-13.00900077355648,42,42
114,telemetry,2025-08-23 01:21:37,26.0,-0.4807305701932239,SC4,Challenger,10.162510717615255,BWSC2025,-21.139722222222222,-12.44655,130.90707,0-3110879,ANU,0.025767008396101687,41,41
115,telemetry,2025-08-23 01:22:49,35.0,-0.481914451361303,Dokkaebi 2,Challenger,10.177899347625342,BWSC2025,-21.119722222222222,-12.44897,130.90681,0-3178440,SNU SOLO,1.073625349521692,57,57
116,telemetry,2025-08-23 01:23:02,50.0,-0.4790818145612054,Sun Sprite,Challenger,10.116344827587142,BWSC2025,-21.11611111111111,-12.44937,130.90617,0-3111503,SASVA,5.315419885851268,42,42
117,telemetry,2025-08-23 01:23:39,26.0,-0.4887474629733418,H6,Challenger,10.315422495604857,BWSC2025,-21.105833333333333,-12.44872,130.90732,0-3110655,Halmstad,1.4797738762213093,23,23
